accession	split	source_collection	source_bioprojects	fa_name	gff_name	n_chr	total_bp	gene_count	feature_count	fa_size	gff_size	fa_sha256	gff_sha256	status
LA0103	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA0103.fa.gz	LA0103.gff3.gz	12	947330288	32124	479375	267225616	4945166	1455d94ccb8029d2f5af0acaeaa75bc4730049bec05d31b9bc1c08e435752e05	aaa2a1fed9676d1b912203cf3c8e20ed957eff62a77912fc8b4dfa5530e0211e	PASS
LA0111	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA0111.fa.gz	LA0111.gff3.gz	12	912183286	31419	465623	256788557	4795305	62189174801047700a925ad55b15142b8775cd031da485b085f1872153f02b5b	70dc53e7c397570c5dfb5f6992bd62a92b8f6921f7b98240f002128ff6c8869f	PASS
LA0166	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA0166.fa.gz	LA0166.gff3.gz	12	817586922	37187	463156	237192407	4775043	ecdbaec5bdaae33a0cf0c1672297483a0eebda412f2f94f7f791ee2a6cd4b3de	d6654fea30dcb35329c6e569a28dfc718049570d513e7f4496a4028a80356be6	PASS
LA0426	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA0426.fa.gz	LA0426.gff3.gz	12	818743530	33644	470233	237684080	4861199	cf7f15ca5dd2bd68213ec6ed0af49be43142fd301cc506745c20dea1042ae860	68e580bfd19326b1a03973d97d94ae85e5bb15c96b9bda1775b12f15f37bab3f	PASS
LA0458	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA0458.fa.gz	LA0458.gff3.gz	12	962373845	32040	474718	268403880	4895405	2aa1dfc69261958df985a61d58a410dc318b8e09588d6bce4c2e7d80badc3908	49788705312ca9313348ab24a43ae81167b85faa935b7817c5621c61526b336b	PASS
LA0716	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA0716.fa.gz	LA0716.gff3.gz	12	1071564237	40322	508264	290077441	5231286	d7fe272b8ed4b250826bd42bfd48a42147f817a2ceef52673653ba0cefac6664	13ed9652fe7d6996975a079915be4bce623481786c32c6184df6dfcf88de1a7f	PASS
LA0735	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA0735.fa.gz	LA0735.gff3.gz	12	831415002	30817	466660	236045186	4825899	14ff19d91596af98a62d4764b8aeffc3a64e966318df4f393f67f7dd76573b8f	01c53b2487e9457539729579b20e2307d583c3a6a1d8c170d73627fa6f108eb3	PASS
LA1028	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA1028.fa.gz	LA1028.gff3.gz	12	820166111	33054	468043	233040546	4839950	990b901bfa36086076778bfd9e58ecf17ab083ad6e62be4dfb58d6a3eb23d666	b88742135b079f68d6b596cdd1cd4f09501e1d412a3e546baced5b62f669b1ae	PASS
LA1777	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA1777.fa.gz	LA1777.gff3.gz	12	975239484	32940	489239	274063898	5052081	b6b262cea8261d08ceb957279f1ecd83902f3a5484aad0b4fd87d6307aa1c58b	37330bc0f7ec30c27796551908ffc037e4bf564f3cf557c1e63991d14d193392	PASS
LA1982	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA1982.fa.gz	LA1982.gff3.gz	12	947679075	37248	469986	265938160	4853441	85559ebbc6659a3ebfbbd2b77d5e95c38a4bdf456f95cf95dd075330c7bf7d22	9d3ff08d41225089ea6da7228ac4b49bc34b7bd76bf11dff5f7a20e7b4561448	PASS
LA2093	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA2093.fa.gz	LA2093.gff3.gz	12	824403372	31277	469430	236911038	4844094	135bc98512c935fd6ec6d9bf31b3c9242dbb1481ea959a0ee5efccc7916ce0a8	9f6da2d370f60bce232d6800e4eece850058ff75680003967b3cd4b3482ee38f	PASS
LA2134	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA2134.fa.gz	LA2134.gff3.gz	12	825771220	31416	487326	234472428	5016087	9ec60bebe8dd2d6aa09f15ac10a642c56cc398ea3159592d1e3fc38fac10a9ff	a32c5b43fd27562f4faba4342383419d88a10247178d1fdc907fb2315fd3b6d7	PASS
LA2160	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA2160.fa.gz	LA2160.gff3.gz	12	936682541	34150	506252	252692608	5211640	50e1610ebe554a34a9cada34a4f1ecdb1c81aa342aee8da0327549c0fa706ca1	b4ebc4f312643844747d66dc14737d0a755fc3b240412ec28688878b6ef10d8c	PASS
LA2951	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	LA2951.fa.gz	LA2951.gff3.gz	12	1221962144	35874	515844	339587931	5319502	8ee628ba7ee932bce3fd699973a15dc2336b346284917700305341ef120293aa	19dbf045a3afb8c3319d7a660005e6aed8a16832faf77506041ec32f82fccdbd	PASS
LYC1410	train	Zhou et al. (2022)	PRJNA733299	LYC1410.fa.gz	LYC1410.gff3.gz	12	776528858	33772	514369	224856343	4962600	1fe4c4c3a33f08fa1840fb2f2de210c7fda7c4fc18a419e0732fd7cc19e75797	60bab554784e06f842d395e663c1bab4446a73c849e92cdd895cd8484665ed50	PASS
M82	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	M82.fa.gz	M82.gff3.gz	12	815502088	35529	431894	234891366	4476040	7a9b421542f593f590aef2f2bc5d2c33755f9d495ca535d3518b98f6a4a1029f	3496ae84986a69cb1baf039341bdb8ee17f6d084f90d6538f7e21f1aa75eb61e	PASS
MM	train	Zhou et al. (2022)	PRJNA733299	MM.fa.gz	MM.gff3.gz	12	808092440	35869	504746	212497145	4964517	7995fe4e1bf73500c1e7e23ab233e767a51c19c06f34c2901b3744f8061f6feb	b616343d130f054cef7a7331882b46564f369ccebda3660f44def58cdc71fe63	PASS
PAS014479	train	Zhou et al. (2022)	PRJNA733299	PAS014479.fa.gz	PAS014479.gff3.gz	12	787719300	34224	496680	228017184	4816644	09ec22bc5b834a8221b36f5476fc95ee17dcd009bf9f30b846f8f7a0b0e141b4	a68b14fbd32db231747ec2acc33f0463784d7e87426c20c774ae88cb5a1b7f46	PASS
PI169588	train	Zhou et al. (2022)	PRJNA733299	PI169588.fa.gz	PI169588.gff3.gz	12	777203374	33909	510378	224838674	4920689	621d9ca73587d107f4049666ae63eafec35a82b70f314f7c46a2c021466c9163	9f06529327da5c029c1cda93b8be9b376a050f6898d57a8c86741287716afc0f	PASS
PI303721	train	Zhou et al. (2022)	PRJNA733299	PI303721.fa.gz	PI303721.gff3.gz	12	774651476	33786	512575	224521301	4953145	3e4849ff935ce002930592db23e64e3218792ee35fad82dcaac60362497f3f00	e1dea8f06c5c05588fb07d8a43d1c30750fa295b0f140ba35e42c57fe5b25b90	PASS
PP	train	Zhou et al. (2022)	PRJNA733299	PP.fa.gz	PP.gff3.gz	12	826667765	34546	524519	218179534	5083890	8f8261383e35f7416dfb8fa2a32747fd68407d983361a88c66ecf7cd3e692197	ab90d12bc6e69853019f6ebdf21318fe29cf96fb6beabb53696e3107b86cca5e	PASS
S.chilense	train	Li et al. (2023)	PRJNA809001;PRJNA756391	S.chilense.fa.gz	S.chilense.gff3.gz	12	807758733	31056	417105	215449686	3308851	799a55d747fcdd76117fabb727a18fa30f0b4cbd9655d2d355563c498f12e5d3	db5e072145e6293d2a9a27c41a6b5dcddfec54903f3dc8e62eb81fac3e73fd33	PASS
S.corneliomulleri	train	Li et al. (2023)	PRJNA809001;PRJNA756391	S.corneliomulleri.fa.gz	S.corneliomulleri.gff3.gz	12	776910527	30115	397613	207515591	3163184	d9a6d7a94d8a4e3eaee5f4ef9c1fabbcfd80d1c30f5553fd0faa108338b11b34	0f4621458044c9b8e7e71ce4738baa343b71279577331f51eb73876416469942	PASS
S.galapagense	train	Li et al. (2023)	PRJNA809001;PRJNA756391	S.galapagense.fa.gz	S.galapagense.gff3.gz	12	801902100	32656	415675	214656324	3339709	0d86c45444406bb380bc716418ce4d9e203cddc1921e2fcabd290af95624fc56	3389aacffb38877b0ea114153664f598d2826e907733de51615bc8ef423f45c8	PASS
S.lycopersicum.ZY65	train	Li et al. (2023)	PRJNA809001;PRJNA756391	S.lycopersicum.ZY65.fa.gz	S.lycopersicum.ZY65.gff3.gz	12	736864047	31879	407465	199208653	3262021	b52c2871d3cbfae650de0ffc9805def90022bbf70009bddb46f4c6b7f1512e11	f5ea0be56e1a31fc844a135464b0cbf02c5855e28d981a870deb72d6b79c4a90	PASS
S.neorickii	train	Li et al. (2023)	PRJNA809001;PRJNA756391	S.neorickii.fa.gz	S.neorickii.gff3.gz	12	732155502	30778	395535	197587738	3146998	1c34b84528116c94f811f4847d9c89c413640d477641a4a3ae0426324986de87	0c22dbba038b9b125a2b8c5ac04a075248f793d0e8a196aad73c01b1ba319f15	PASS
S.pennellii	train	Li et al. (2023)	PRJNA809001;PRJNA756391	S.pennellii.fa.gz	S.pennellii.gff3.gz	12	926426464	43622	307379	231991156	3730878	2dcdf7df7191ba470a7f2214a307ad4b776bb8ceb1852510aa3b75cc274ffd0b	2033f66a44e951c800eb80098a4ddb79919815b88d37ad162932644120c7b3fd	PASS
S.peruvianum	train	Li et al. (2023)	PRJNA809001;PRJNA756391	S.peruvianum.fa.gz	S.peruvianum.gff3.gz	12	797183381	30290	397462	212247842	3170518	5e3809471b92c035b3725427f2aeb8f6c9e58e7d899ec886505891bd9415d93b	730570430d4f385ddfab9b12b6b1cb678a953cecac5735ae55a386fb6d383c63	PASS
S.pimpinellifolium	train	Li et al. (2023)	PRJNA809001;PRJNA756391	S.pimpinellifolium.fa.gz	S.pimpinellifolium.gff3.gz	12	760637477	31367	405397	205124374	3241031	683dd615d3b6c0afffbc90083813fbbefd736dd665cb0e866a63203e4e310028	24f168ff73ea2f4dcf80e6403438b5dd96bbb9838fb8d31099e036aa0c300cfc	PASS
SL6.0	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	SL6.0.fa.gz	SL6.0.gff3.gz	12	811189340	34172	480791	212072308	5382701	e83599df46fcfb3f7cda30d929692268695f3c01d572d92ae7d34b6a0b2e60b6	c12b02e6c46ca6e32bf3ca43396a2cba72bdcb7740ad01e7f9874eeaba2913b3	PASS
TS-60	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	TS-60.fa.gz	TS-60.gff3.gz	12	810901154	31073	464809	233013326	4798370	4bcf5e0d5a45201d948af8c6eb225b1b732de5076eda5e0172be4433d379a9e6	a5586d6b9ef21c78399f745b51b0168ac0f40fcd336a70d632dc277245e99257	PASS
TS-623	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	TS-623.fa.gz	TS-623.gff3.gz	12	823447380	31186	467268	236393355	4825694	725c90278083d0156bbf30d7a2f138af5df1b8f5c99147198d16663193bce71c	4dd6be44c67eae5f3a0342e8d632725dac3e3a637e0551661a71619c557e5576	PASS
TS112	train	Zhou et al. (2022)	PRJNA733299	TS112.fa.gz	TS112.gff3.gz	12	804229973	35977	508537	211826327	5026447	06b155ae4cb08597e864a8519066f1193ca92855243725e2ced18e1ff02fe7b9	0bcd3e4993d89b0e3e66699a5584f61a0b08d42f81617272e9c12158d768d35f	PASS
TS117	train	Zhou et al. (2022)	PRJNA733299	TS117.fa.gz	TS117.gff3.gz	12	823083516	35391	475642	218267490	4749087	37cacad0680a80124b0ef0490da4bc18a5b940716955ba789218776631b32222	57465baaa86c6cbf3f9861c4a6db454d28ccf7865151e84841f047a9c6d266c5	PASS
TS118	train	Zhou et al. (2022)	PRJNA733299	TS118.fa.gz	TS118.gff3.gz	12	811896589	36118	512432	215259272	5101626	bd2d0f1076e8a8a7095300d345f04d89a55131cc9b49a955f60ef9b045cefe81	628d53a950b116397253c20fa6f3f2492c2b9e58b3f6f94745e622737d02d290	PASS
TS12	train	Zhou et al. (2022)	PRJNA733299	TS12.fa.gz	TS12.gff3.gz	12	823911533	34555	468069	215718806	4685670	5243fffbb8eac56596b042c2d9fa5695035af6a094b3ae41d99c41b12bafe308	2bf9fa4413476fe99cb491a0d736471e8cf7e74219ec07718949d6ad8019175d	PASS
TS156	train	Zhou et al. (2022)	PRJNA733299	TS156.fa.gz	TS156.gff3.gz	12	814655804	36102	514363	215882185	5079347	31b7bdf63d11d797cadbde24ce885c14e0129e34bfb31a93dfb78454645a7af0	61e231cf6d76a443166c8a24ae3bfe0e7adb8d10b304e1bf589889fa2709f537	PASS
TS166	train	Zhou et al. (2022)	PRJNA733299	TS166.fa.gz	TS166.gff3.gz	12	808522166	34680	470661	212688016	4734098	364f8423c89f9ab94805c9d15b61a73dcee2e2c511d2499d65da970bd65b75e8	177b32e4979b5a76914c5884fa3a6e4f30b1a16c3c73fbf11bab4c51f2a2a141	PASS
TS171	train	Zhou et al. (2022)	PRJNA733299	TS171.fa.gz	TS171.gff3.gz	12	799500058	36313	513917	212638299	5100276	85760cdd32c9772a9cb4d95446c9f217fb920e2b47bd5bbb28348018f5c090f5	37f119c9ff84ea4299d0a927b9435108308ba6c2f3f7993944f1540de5eec407	PASS
TS185	train	Zhou et al. (2022)	PRJNA733299	TS185.fa.gz	TS185.gff3.gz	12	809648711	35030	472332	212417115	4724931	72e30fafac4dbe353f376efb3550cd1c762f2c2323cd14667cb5d1517edd87dc	a09c3939a7b4dbaea4e324cde26b56d7128bf0821fd978116f46bd24238d52ba	PASS
TS204	train	Zhou et al. (2022)	PRJNA733299	TS204.fa.gz	TS204.gff3.gz	12	804620109	35238	462831	213318221	4656172	e49054be69b0a21bf230084202bcffeb2db94dafb7795a1a209f808fd07ee063	f3920f534bf0eae154ccde1aca88f700cfe9a9c3bacd9614dd1a34a7b6e651e4	PASS
TS222	train	Zhou et al. (2022)	PRJNA733299	TS222.fa.gz	TS222.gff3.gz	12	808944141	35329	477039	212535967	4754914	089c29d8af24fa1f939286bd4d97adcdc0003b591bd2c7f6004ff6a913663949	788c83aae49552f57c26d42a7b6e87f01921f0f65681e0eb91a99f215b165dd5	PASS
TS238	train	Zhou et al. (2022)	PRJNA733299	TS238.fa.gz	TS238.gff3.gz	12	806358439	34348	462654	213263363	4648578	977df3a8b3d7f9d2babf3d21aee8ba6d8f96393348ebc3d04b0fd66d8496079a	4fba09c585a8a6618cee1177fb89c44e565ae5e2a92c9d9559c000d0666b798b	PASS
TS265	train	Zhou et al. (2022)	PRJNA733299	TS265.fa.gz	TS265.gff3.gz	12	836279994	36912	518527	221740545	5123575	84a631cb7880fb62a1d166c2ab78f0e1e3bed0c566750156fc5c8d1f0cccc9b2	93cadef9a47596aea70066eaa2f90308b4a813a7c0759b568913afd09193e10a	PASS
TS280	train	Zhou et al. (2022)	PRJNA733299	TS280.fa.gz	TS280.gff3.gz	12	812162828	34704	465460	213694667	4678665	a24f6559caa05b8c31b1cc99f23e765a65d02e4f8e6ea048b8a90b3d78904e87	14fad442ad81ad99a6dfb3a99406ab953ee1d4d084dcf0284fea0faed5cab1f0	PASS
TS281	train	Zhou et al. (2022)	PRJNA733299	TS281.fa.gz	TS281.gff3.gz	12	811311839	36362	510748	212988069	5103334	8bd84c10a11b86bd052aefc5d9e8861cc39d88f715edb6425d4936461c337fa8	02c88f1c718bd35d7a5cc6e91978bc1d9fc8ddb586d98044c1ac994cfb1b1679	PASS
TS331	train	Zhou et al. (2022)	PRJNA733299	TS331.fa.gz	TS331.gff3.gz	12	834910877	36488	514472	218305331	5098167	eed4fc2f1e506f7f3475506ea512daab4c213ec41d216f5cfd416597daf18525	ee057302ef16bf9abe36fc1dd4907ba57daa23c159d42bb833af2af66b04a12e	PASS
TS39	train	Zhou et al. (2022)	PRJNA733299	TS39.fa.gz	TS39.gff3.gz	12	828828749	34599	467127	216514019	4708374	4e878dc80d2cd9c9dff7716c63ff68b7c035793cb6e8882999ebb64692403ec7	c6220aac16003ee2543bbfa5837c47774604eb4335bbfdf5dc9ac4d4b4fbc840	PASS
TS413	train	Zhou et al. (2022)	PRJNA733299	TS413.fa.gz	TS413.gff3.gz	12	832103002	36292	517554	218651151	5114635	d5daec618670c4c1ac3bf8f27ca12995eb949b6ca05d64d4bdfc2d89b3d0aa3f	062ec319ae7e2bc451cd3c24b01045d3f08540d2fe376320b84aa8006a8774cd	PASS
TS421	train	Zhou et al. (2022)	PRJNA733299	TS421.fa.gz	TS421.gff3.gz	12	816923717	36750	508101	214787987	5070001	3fe83cd1e871477b8ff055454d889464d1224a3056d7d711536a4d9a307e3472	4f9755c2c8e84c1611759338b1d3db8ce69dca1478dd6462cdb759ec59fdddd4	PASS
TS439	train	Zhou et al. (2022)	PRJNA733299	TS439.fa.gz	TS439.gff3.gz	12	805526346	35305	476685	212772796	4790637	8d6f2f8addd7b7e41cd4a6e090fdbc8908913866a872fddc2a6dae2110ab4632	fe47746d7f684bcba13bc87639ba810c63f1a4b17b4530f84e6cb077514ee8c3	PASS
TS545	train	Zhou et al. (2022)	PRJNA733299	TS545.fa.gz	TS545.gff3.gz	12	809702491	36442	515828	215096979	5153949	bae751b20755d9ee0c16155f201d9b679e436cfaab20cb9f33836a2284cf3fb4	d368a84c50764c44a89b0a9884005f2cf99a29af77f57fc81fbe458a23d39623	PASS
TS629	train	Zhou et al. (2022)	PRJNA733299	TS629.fa.gz	TS629.gff3.gz	12	812656912	35864	506630	213177695	5001878	1974c30a46e0f4581635bcc4cc7b5d21089fd019ec522c1631ff8f57f6e85193	0e6a656e1509dd48144e4c164f30e914fb31a59324bb708f10ef3861878f8e11	PASS
TS692	train	Zhou et al. (2022)	PRJNA733299	TS692.fa.gz	TS692.gff3.gz	12	804355762	35825	505118	211598466	5004109	c8c37a52a2d399990e048f4f26f88865c4a2af87fddda9bcffe62151acd8a5ed	ea0c49ba325ba07e5ecb1bb89ff8eccb09a1147b3ef4af1cb05bd7fcae9d44ec	PASS
TS80	train	Zhou et al. (2022)	PRJNA733299	TS80.fa.gz	TS80.gff3.gz	12	816018184	34691	463323	213669252	4626475	fa9ea785620d90214d4911fb4aec55684f8b43c4a69e3dca84a037b31f2849f7	7a543cde946d96f85a338f93f779f710358c6f8ce3388b9e532a5189ee06ee33	PASS
TS96	train	Zhou et al. (2022)	PRJNA733299	TS96.fa.gz	TS96.gff3.gz	12	810814970	34290	517388	215078238	5081308	e1da3b8834e565f1ba0aec4954a36c92219da77e7793e7dd671b651a9265e1ce	70e42bd5d7a8800a4e202057490326a19b024f322259e88f39f09315fc212671	PASS
